cq,set,read_fkgl,read_gfi,read_cli,read_ari,read_dcr,read_fkgl_scaled,read_gfi_scaled,read_cli_scaled,read_ari_scaled,read_dcr_scaled
Are there images of the item being used or created by the artist?,1,7.2,11.35,5.03,4.3,7.93,0.4011299435028249,0.4040613344384584,0.4019870080244554,0.39826839826839827,0.41260273972602735
When is a loaned item expected to be returned?,1,4.4,8.04,4.78,2.9,11.1,0.24293785310734464,0.26688769167012016,0.3924340848299579,0.33766233766233766,0.5863013698630136
Is the artefact out for repair?,1,2.1,2.4,3.35,2.0,6.57,0.11299435028248588,0.03315375051802735,0.33779136415743216,0.2987012987012987,0.3380821917808219
What type of artist is Queen?,1,0.9,2.4,1.38,0.4,6.57,0.04519774011299435,0.03315375051802735,0.2625143293847917,0.22943722943722944,0.3380821917808219
What are the types of the artefacts that be displayed?,1,2.5,4.0,6.76,4.8,8.87,0.13559322033898305,0.09946125155408206,0.4680932365303782,0.4199134199134199,0.4641095890410958
Is an item a physical object?,1,6.8,9.07,1.38,0.4,11.83,0.3785310734463277,0.3095731454620804,0.2625143293847917,0.22943722943722944,0.6263013698630137
Is an item on display?,1,2.9,2.0,-2.01,-2.1,10.2,0.1581920903954802,0.016576875259013676,0.13297669086740543,0.12121212121212122,0.5369863013698629
Is an item on loan or in the museum?,1,3.3,8.04,-1.67,-2.4,7.59,0.1807909604519774,0.26688769167012016,0.14596866641192202,0.10822510822510824,0.39397260273972595
When was an item acquired?,1,5.2,10.0,2.64,1.8,10.2,0.288135593220339,0.3481143804392872,0.3106610622850592,0.29004329004329005,0.5369863013698629
Who is the original manufacturer of an item?,1,11.1,13.2,6.45,4.4,9.95,0.6214689265536724,0.4807293825113966,0.45624761176920137,0.4025974025974026,0.5232876712328767
What is the insurance value of an item?,1,5.2,8.2,2.86,1.4,7.98,0.288135593220339,0.27351844177372564,0.319067634696217,0.2727272727272727,0.41534246575342465
Does the item display any damage or defect?,1,6.4,3.2,5.76,3.8,9.95,0.3559322033898305,0.0663075010360547,0.4298815437523882,0.37662337662337664,0.5232876712328767
Is the item related to other artefacts in the museum?,1,8.4,12.0,6.18,4.3,10.45,0.4689265536723164,0.43099875673435556,0.445930454719144,0.39826839826839827,0.5506849315068493
How many items related to Queen does the museum own?,1,7.2,12.0,5.6,3.8,8.87,0.4011299435028249,0.43099875673435556,0.42376767290790973,0.37662337662337664,0.4641095890410958
How many items of type manuscript does the museum own?,1,7.2,12.0,6.76,4.8,10.45,0.4011299435028249,0.43099875673435556,0.4680932365303782,0.4199134199134199,0.5506849315068493
What are the different types of display requirements?,1,6.4,8.2,13.01,9.7,9.95,0.3559322033898305,0.27351844177372564,0.706916316392816,0.632034632034632,0.5232876712328767
Who is responsible for the acquisition of an item in the museum?,1,10.3,14.8,6.95,5.4,9.5,0.5762711864406781,0.5470368835474513,0.47535345815819635,0.4458874458874459,0.4986301369863013
What is the type of association between an artefact and an artist?,1,8.0,8.13,7.93,6.1,8.18,0.4463276836158192,0.2706174886033983,0.5128009170806266,0.47619047619047616,0.42630136986301365
What artist is the item associated with?,1,9.6,8.51,7.37,5.0,8.5,0.536723163841808,0.28636552009946126,0.49140236912495217,0.4285714285714286,0.4438356164383561
Is an item an original or a copy?,1,6.4,8.2,-1.5,-2.2,7.98,0.3559322033898305,0.27351844177372564,0.15246465418418034,0.11688311688311688,0.41534246575342465
How was an item acquired?,1,5.2,10.0,1.48,0.9,10.2,0.288135593220339,0.3481143804392872,0.2663354986625907,0.2510822510822511,0.5369863013698629
What organisation borrowed an item?,1,12.3,10.0,13.08,10.3,13.36,0.6892655367231639,0.3481143804392872,0.7095911348872754,0.658008658008658,0.7101369863013698
Is an item on loan?,1,0.5,2.0,-5.49,-4.9,7.04,0.022598870056497175,0.016576875259013676,0.0,0.0,0.3638356164383561
Is an item currently in the museum?,1,7.2,14.23,3.26,1.6,10.75,0.4011299435028249,0.5234148363033568,0.33435231180741304,0.2813852813852814,0.5671232876712328
How should an item of type manuscript be displayed?,1,4.4,8.04,8.03,5.6,11.1,0.24293785310734464,0.26688769167012016,0.5166220863584257,0.45454545454545453,0.5863013698630136
How should an item of type guitar be displayed?,1,3.3,3.6,5.42,3.5,11.1,0.1807909604519774,0.0828843762950684,0.4168895682078716,0.36363636363636365,0.5863013698630136
Are there display requirements for an item?,1,6.0,8.51,9.87,7.0,10.75,0.3333333333333333,0.28636552009946126,0.5869316010699273,0.5151515151515151,0.5671232876712328
Is an item loaned or donated?,1,4.5,9.07,1.38,0.4,11.83,0.2485875706214689,0.3095731454620804,0.2625143293847917,0.22943722943722944,0.6263013698630137
What are the loan conditions?,1,2.9,10.0,6.12,4.6,7.04,0.1581920903954802,0.3481143804392872,0.44363775315246456,0.4112554112554112,0.3638356164383561
What are the preservation requirements for an item?,1,8.8,13.2,11.56,8.5,9.95,0.4915254237288136,0.4807293825113966,0.6515093618647305,0.5800865800865801,0.5232876712328767
What is the condition of an item?,1,3.7,8.51,1.57,0.3,8.5,0.2033898305084746,0.28636552009946126,0.26977455101260983,0.22510822510822512,0.4438356164383561
Who is the insurance company insuring an item,1,10.0,13.2,7.9,4.9,9.95,0.5593220338983051,0.4807293825113966,0.5116545662972869,0.42424242424242425,0.5232876712328767
Who loaned an item,1,1.3,1.6,-1.46,-1.9,11.73,0.06779661016949153,0.0,0.15399312189529996,0.12987012987012989,0.6208219178082192
What is the insurance status of an item?,1,5.2,8.2,3.55,2.0,9.95,0.288135593220339,0.27351844177372564,0.34543370271303014,0.2987012987012987,0.5232876712328767
What are the features of an item of type guitar,1,3.7,4.0,3.28,1.5,10.45,0.2033898305084746,0.09946125155408206,0.33511654566297283,0.27705627705627706,0.5506849315068493
